ticker,pe,pb,returns,liquidity,rating,symbol,volatility
CNX,10.0,4063.999999999999,94.44976076555025,2663373.5702811247,0.7000000000000001,,
SLM,9.999999999999998,137.1,73.10606060606062,1814101.2048192772,0.7000000000000001,,
ACLS,10.0,74240.0,-40.660219007273604,628627.988,0.46286279880000003,,
AMPH,10.0,451900.0,-24.58277703604807,396199.6787148594,0.43961996787148594,,
RELY,10.0,205599.99999999997,-2.4667931688804536,1720412.7142857143,0.5,,
MDT,9.999999999999998,865400.0000000001,8.500501504513542,6138759.908730159,0.6700100300902708,,
AJG,10.0,309.0,24.823268026661275,850169.6175298805,0.6850169617529882,,
GWRE,10.0,2021800.0,101.91750724058726,719228.8,0.6719228800000001,,
PAYC,10.0,22600.0,21.374865735767997,794981.8548387097,0.6794981854838711,,
NCNO,10.000000000000002,79959.99999999999,36.637047163362936,1012046.584,0.7000000000000001,,
DNLI,10.000000000000002,2519.0,34.20351624933405,1064303.7429718876,0.7000000000000001,,
MTD,10.0,124950.0,13.298393239273157,134566.2490118577,0.6134566249011859,,
THS,10.0,3432.9999999999995,-18.183984747378464,507578.11952191236,0.4507578119521913,,
APH,10.0,72680.0,-20.88821160335256,4929115.292,0.5,,
AVT,9.999999999999998,54.31,14.0487190256195,583671.8875502008,0.6583671887550202,,
DPZ,10.0,47513.0,18.835976189285176,598952.42,0.659895242,,
C,10.0,7089.0,49.651678277390765,14561205.837301588,0.7000000000000001,,
R,10.0,336.78,55.040972286161484,261907.78486055776,0.6261907784860559,,
IP,9.999999999999998,58.83,57.4678800856531,5055775.0,0.7000000000000001,,
KEX,10.0,1250.1,58.90428371679166,449386.27777777775,0.6449386277777779,,
EPC,10.0,3657.9999999999995,3.0712876866722914,387550.32,0.5001807857334458,,
WGO,10.0,117.1,-14.337966349670808,579658.8709677419,0.4579658870967742,,
BCRX,10.0,750.0,21.16316639741518,3070165.68503937,0.7000000000000001,,
MLAB,10.0,,22.672531155094784,42654.016064257026,0.6042654016064258,,
VNT,10.0,392799.99999999994,14.385556202679084,799123.0,0.6799123000000001,,
ETD,10.0,3072.0,9.71428571428571,232015.2,0.6174872342857142,,
KZIZP,9.999999999999998,2760.1,-53.2241937397258,2268.1692913385828,0.40022681692913387,,
OGN,10.0,1588.0,34.234995773457314,2455247.6,0.7000000000000001,,
BMY,10.0,593.3,18.70748299319728,14308106.53968254,0.7000000000000001,,
AVTR,10.0,2089.0,-2.56529850746269,6363898.198412699,0.5,,
WTW,10.0,1056838.5116614965,31.946721311475407,479203.2128514056,0.6479203212851407,,
APLE,9.999999999999998,,-4.72813238770686,2107516.827309237,0.5,,
CHE,9.999999999999998,572.39,-1.100628930817611,83807.35968379446,0.4083807359683795,,
CTVA,10.0,6124.0,35.42680229986732,3370856.453815261,0.7000000000000001,,
TGTX,10.0,34810.0,141.4008321775312,3746682.507936508,0.7000000000000001,,
PZZA,9.999999999999998,4983.0,-28.528399311531842,958363.0434782609,0.4958363043478261,,
DATA,10.0,2310.0,8.004488498223306,1058882.4318181819,0.6600897699644661,,
DG,9.999999999999998,88.44571428571429,-42.60179485277757,3183866.1526104417,0.5,,
DDS,10.0,44001.0,19.52571102599625,116006.86454183266,0.6116006864541833,,
RH,9.999999999999998,3851999.999999999,32.70860607731,728603.76,0.672860376,,
BWA,9.999999999999998,3429.9999999999995,-0.05827505827506738,2632065.812,0.5,,
CNH,10.0,1258.0,14.67639015496809,11207946.0,0.7000000000000001,,
IRM,10.0,12154.0,83.595166163142,1558116.935483871,0.7000000000000001,,
FATE,10.0,3170.0,24.803149606299208,2204564.984126984,0.7000000000000001,,
ABM,10.0,5700.0,32.836168725238885,549013.3064516129,0.6549013306451614,,
WSO,9.999999999999998,1105.72,39.276987026073826,273990.0,0.627399,,
6690,10.000000000000002,26.45,22.17090069284065,13228990.450819673,0.7000000000000001,,
CENTA,10.0,3379.0,8.754425490827161,280539.4,0.6031424498165433,,
CVM,10.0,66.0,-76.42857142857142,596952.9879032258,0.4596952987903226,,
SNY,10.0,96.98,3.126329221607824,1961905.3654618473,0.5625265844321565,,
FLGT,10.0,182999.99999999997,-33.381871132144155,184703.61445783134,0.41847036144578315,,
BOH,10.0,7898.0,23.890196078431376,331018.9881422925,0.6331018988142293,,
DXCM,9.999999999999998,78000.0,-34.032476319350465,3756527.3,0.5,,
FAF,10.0,7015999.999999999,13.582645297069766,679093.26,0.6679093260000001,,
IRKT,9.999999999999998,8.266666666666667,-50.0,53335.60236220472,0.40533356023622047,,
OVV,9.999999999999998,4558.0,4.325932707713437,3015082.8,0.5865186541542687,,
VAL,9.999999999999998,4623.0,-32.68782760629006,1050663.2,0.5,,
BJ,10.0,9650.0,48.484382212648114,1471734.4,0.7000000000000001,,
IRBT,10.0,759.0,-79.40298507462687,1676852.822580645,0.5,,
ALE,9.999999999999998,,15.342222222222215,363665.1593625498,0.636366515936255,,
HPQ,10.0,3543.0,22.00413223140496,7781358.870967742,0.7000000000000001,,
NTR,9.999999999999998,,-13.746084392850562,1906921.508,0.5,,
AOUT,10.0,9890.0,22.400990099009906,32038.709677419356,0.603203870967742,,
SAGE,9.999999999999998,54699.99999999999,-73.7523992322457,945213.1752988048,0.4945213175298805,,
BIGC,9.999999999999998,73700.0,-21.260683760683754,769823.9043824701,0.47698239043824703,,
HEAR,9.999999999999998,17310.0,54.27807486631014,244142.252,0.6244142252000001,,
1061,,,18.623481781376537,177753.68163265305,0.21777536816326531,,
CAT,10.0,406.52,59.576054955839055,2607273.3870967743,0.7000000000000001,,
